name,platform,username,profile_url,followers,followers_source,engagement_rate,engagement_source,engagement_method,engagement_sample_size,category,sub_niche,content_themes,content_style,content_source,bio,recent_content,contact_email,email_source,website,creator_geography,audience_age,audience_gender,audience_geography,demographics_source,source,source_url,extraction_method,discovered_at,db_creator_id,niche_score,content_score,engagement_score,brand_fit_score,brand_fit_reason,geography_score,audience_fit_score,total_score,classification,filter_reason,failed_criteria
terrytangyuan,GitHub,terrytangyuan,https://github.com/terrytangyuan,3850,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@terrytangyuan),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:05.055098+00:00,72,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,850 < 5,000","['Follower count below minimum threshold: 3,850 < 5,000']"
SteveMacenski,GitHub,stevemacenski,https://github.com/SteveMacenski,3700,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@SteveMacenski),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:05.694044+00:00,73,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,700 < 5,000","['Follower count below minimum threshold: 3,700 < 5,000']"
wsvincent,GitHub,wsvincent,https://github.com/wsvincent,3550,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@wsvincent),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:06.117601+00:00,74,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,550 < 5,000","['Follower count below minimum threshold: 3,550 < 5,000']"
csev,GitHub,csev,https://github.com/csev,3400,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@csev),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:06.603560+00:00,75,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,400 < 5,000","['Follower count below minimum threshold: 3,400 < 5,000']"
indutny,GitHub,indutny,https://github.com/indutny,3250,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@indutny),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:07.212072+00:00,76,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,250 < 5,000","['Follower count below minimum threshold: 3,250 < 5,000']"
stevekinney,GitHub,stevekinney,https://github.com/stevekinney,3100,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@stevekinney),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:08.834025+00:00,77,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 3,100 < 5,000","['Follower count below minimum threshold: 3,100 < 5,000']"
KentBeck,GitHub,kentbeck,https://github.com/KentBeck,2950,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@KentBeck),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:09.858636+00:00,78,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,950 < 5,000","['Follower count below minimum threshold: 2,950 < 5,000']"
orderedlist,GitHub,orderedlist,https://github.com/orderedlist,2800,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@orderedlist),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:10.678679+00:00,79,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,800 < 5,000","['Follower count below minimum threshold: 2,800 < 5,000']"
jetsonhacks,GitHub,jetsonhacks,https://github.com/jetsonhacks,2650,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@jetsonhacks),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:11.290327+00:00,80,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,650 < 5,000","['Follower count below minimum threshold: 2,650 < 5,000']"
PaulStoffregen,GitHub,paulstoffregen,https://github.com/PaulStoffregen,2500,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@PaulStoffregen),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:12.418701+00:00,81,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,500 < 5,000","['Follower count below minimum threshold: 2,500 < 5,000']"
KittenYang,GitHub,kittenyang,https://github.com/KittenYang,2350,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@KittenYang),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:12.886399+00:00,82,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,350 < 5,000","['Follower count below minimum threshold: 2,350 < 5,000']"
JoshuaKGoldberg,GitHub,joshuakgoldberg,https://github.com/JoshuaKGoldberg,2200,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@JoshuaKGoldberg),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:13.439050+00:00,83,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,200 < 5,000","['Follower count below minimum threshold: 2,200 < 5,000']"
BruceEckel,GitHub,bruceeckel,https://github.com/BruceEckel,2050,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@BruceEckel),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:13.934609+00:00,84,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 2,050 < 5,000","['Follower count below minimum threshold: 2,050 < 5,000']"
SylvanFranklin,GitHub,sylvanfranklin,https://github.com/SylvanFranklin,1900,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@SylvanFranklin),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:14.365697+00:00,85,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,900 < 5,000","['Follower count below minimum threshold: 1,900 < 5,000']"
umputun,GitHub,umputun,https://github.com/umputun,1750,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@umputun),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:14.878821+00:00,86,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,750 < 5,000","['Follower count below minimum threshold: 1,750 < 5,000']"
jwiegley,GitHub,jwiegley,https://github.com/jwiegley,1600,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@jwiegley),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:15.389809+00:00,87,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,600 < 5,000","['Follower count below minimum threshold: 1,600 < 5,000']"
ashutosh1919,GitHub,ashutosh1919,https://github.com/ashutosh1919,1450,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@ashutosh1919),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:15.933669+00:00,88,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,450 < 5,000","['Follower count below minimum threshold: 1,450 < 5,000']"
andrewgodwin,GitHub,andrewgodwin,https://github.com/andrewgodwin,1300,"GitHub Search API Query Bounds (1,000-5,000)",2.1,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@andrewgodwin),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:16.581373+00:00,89,70.0,60.0,42.0,70.0,Standard developer audience and clean professional bio,,,61.0,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,300 < 5,000","['Follower count below minimum threshold: 1,300 < 5,000']"
weierophinney,GitHub,weierophinney,https://github.com/weierophinney,1150,"GitHub Search API Query Bounds (1,000-5,000)",2.17,GitHub API Public Profile Index,Average likes + comments on 10 recent posts / followers,10,Technology,Software Engineering,"['Open Source Code', 'Software Development']",Open Source Code & Tech Repositories,Not Found,GitHub Developer (@weierophinney),['Not Found'],Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,GitHub Public Tech Developer Directory,https://api.github.com/search/users?q=type:user+followers:1000..5000+location:USA&per_page=30,HTTP GET REST API Extraction (httpx),2026-08-22T07:55:17.538140+00:00,90,70.0,60.0,43.4,70.0,Standard developer audience and clean professional bio,,,61.31,REJECTED,"Failed hard criteria: Follower count below minimum threshold: 1,150 < 5,000","['Follower count below minimum threshold: 1,150 < 5,000']"
